threshold,cost,f1,tp,fn,fp
0.05,1535732.0,0.3251,237,0,984
0.06,1438969.0,0.3395,237,0,922
0.07,1323477.0,0.3642,236,1,823
0.08,1254806.0,0.3834,235,2,754
0.09,1240759.0,0.4,233,4,695
0.1,1117464.0,0.4377,232,5,591
0.11,1129949.0,0.473,228,9,499
0.12,1507640.0,0.4832,216,21,441
0.13,1580993.0,0.5066,212,25,388
0.14,1671513.0,0.5259,208,29,346
0.15,1824462.0,0.5349,203,34,319
0.16,2033597.0,0.5346,197,40,303
0.17,2592329.0,0.5513,180,57,236
0.18,2771809.0,0.5686,174,63,201
0.19,2938805.0,0.5739,169,68,183
0.2,3063661.0,0.5841,165,72,163
0.21,3436669.0,0.5699,155,82,152
0.22,3617711.0,0.566,150,87,143
0.23,3762856.0,0.5626,146,91,136
0.24,3797192.0,0.5631,145,92,133
0.25,4043783.0,0.5621,138,99,116
0.26,4187368.0,0.5595,134,103,108
0.27,4330952.0,0.5567,130,107,100
0.28,4440201.0,0.5534,127,110,95
0.29,4622804.0,0.5471,122,115,87
0.3,4686793.0,0.5517,120,117,78
0.31,4947430.0,0.5381,113,124,70
0.32,5175293.0,0.522,107,130,66
0.33,5165929.0,0.5297,107,130,60
0.34,5158125.0,0.5363,107,130,55
0.35,5155004.0,0.539,107,130,53
0.36,5340727.0,0.5285,102,135,47
0.37,5339167.0,0.5299,102,135,46
0.38,5375063.0,0.5288,101,136,44
0.39,5406277.0,0.5319,100,137,39
0.4,5406277.0,0.5319,100,137,39
0.41,5592001.0,0.5205,95,142,33
0.42,5666914.0,0.5152,93,144,31
0.43,5777724.0,0.5085,90,147,27
0.44,5855760.0,0.5,88,149,27
0.45,6161657.0,0.4706,80,157,23
0.46,6239693.0,0.4615,78,159,23
0.47,6355185.0,0.4491,75,162,22
0.48,6547151.0,0.4281,70,167,20
0.49,6584608.0,0.4246,69,168,19
0.5,6698539.0,0.4125,66,171,17
0.51,6776575.0,0.4025,64,173,17
0.52,6776575.0,0.4025,64,173,17
0.53,6814032.0,0.3987,63,174,16
0.54,7158947.0,0.3564,54,183,12
0.55,7158947.0,0.3564,54,183,12
0.56,7272878.0,0.3423,51,186,10
0.57,7385249.0,0.3288,48,189,7
0.58,7383688.0,0.3299,48,189,6
0.59,7422706.0,0.3241,47,190,6
0.6,7539759.0,0.3066,44,193,6
0.61,7616233.0,0.2958,42,195,5
0.62,7653690.0,0.2908,41,196,4
0.63,7770743.0,0.2724,38,199,4
0.64,7886235.0,0.2545,35,202,3
0.65,7884674.0,0.2555,35,202,2
0.66,7922131.0,0.25,34,203,1
0.67,7922131.0,0.25,34,203,1
0.68,7961149.0,0.2435,33,204,1
0.69,8000166.0,0.237,32,205,1
0.7,8000166.0,0.237,32,205,1
0.71,8039184.0,0.2305,31,206,1
0.72,8078201.0,0.2239,30,207,1
0.73,8195254.0,0.2038,27,210,1
0.74,8273289.0,0.1901,25,212,1
0.75,8312307.0,0.1832,24,213,1
0.76,8312307.0,0.1832,24,213,1
0.77,8312307.0,0.1832,24,213,1
0.78,8390342.0,0.1692,22,215,1
0.79,8390342.0,0.1692,22,215,1
0.8,8390342.0,0.1692,22,215,1
0.81,8427799.0,0.1628,21,216,0
0.82,8466817.0,0.1556,20,217,0
0.83,8466817.0,0.1556,20,217,0
0.84,8505834.0,0.1484,19,218,0
0.85,8544852.0,0.1412,18,219,0
0.86,8583869.0,0.1339,17,220,0
0.87,8583869.0,0.1339,17,220,0
0.88,8583869.0,0.1339,17,220,0
0.89,8583869.0,0.1339,17,220,0
0.9,8700922.0,0.1116,14,223,0
0.91,8700922.0,0.1116,14,223,0
0.92,8739940.0,0.104,13,224,0
0.93,8739940.0,0.104,13,224,0
0.94,8778957.0,0.0964,12,225,0
